CWE457_Use_of_Uninitialized_Variable_s01

Total files, 979

Files not reported, 506

Total OKs, 391, 39.9387129724208%
Total Fails, 82, 8.3758937691522%

File, Expected Bugs, Found Bugs, Bug was found?
CWE457_Use_of_Uninitialized_Variable__int_array_alloca_no_init_12.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__char_pointer_16.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_01.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_alloca_partial_init_11.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_15.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_15.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int64_t_64b.c,Uninitialized argument value,Dead initialization,Fail
CWE457_Use_of_Uninitialized_Variable__char_pointer_64b.c,Uninitialized argument value,Dead initialization,Fail
CWE457_Use_of_Uninitialized_Variable__twointsclass_08.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_array_declare_no_init_09.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_array_malloc_partial_init_10.c,Uninitialized argument value,Memory leak;Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_09.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_pointer_08.c,Uninitialized argument value,Memory leak;Dereference of undefined pointer value,Fail
CWE457_Use_of_Uninitialized_Variable__char_pointer_63b.c,Uninitialized argument value,Dead initialization,Fail
CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_14.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__long_64b.c,Uninitialized argument value,Dead initialization,Fail
CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_11.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_10.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_array_declare_partial_init_07.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_array_declare_no_init_17.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_09.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_array_alloca_no_init_43.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_14.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__char_pointer_13.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_12.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_04.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_pointer_63b.c,Uninitialized argument value,Memory leak;Dead initialization,Fail
CWE457_Use_of_Uninitialized_Variable__double_pointer_18.c,Uninitialized argument value,Dereference of undefined pointer value;Memory leak,Fail
CWE457_Use_of_Uninitialized_Variable__struct_array_malloc_no_init_03.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_array_alloca_no_init_06.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_10.c,Uninitialized argument value,Uninitialized argument value;Memory leak,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_alloca_no_init_18.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_08.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_pointer_03.c,Uninitialized argument value,Memory leak;Dereference of undefined pointer value,Fail
CWE457_Use_of_Uninitialized_Variable__int_15.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_14.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_alloca_no_init_18.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_pointer_13.c,Uninitialized argument value,Dereference of undefined pointer value;Memory leak,Fail
CWE457_Use_of_Uninitialized_Variable__int_10.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__char_pointer_14.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_pointer_16.c,Uninitialized argument value,Dereference of undefined pointer value;Memory leak,Fail
CWE457_Use_of_Uninitialized_Variable__double_array_malloc_no_init_16.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_pointer_43.cpp,Uninitialized argument value,Dereference of undefined pointer value;Memory leak,Fail
CWE457_Use_of_Uninitialized_Variable__int_pointer_09.c,Uninitialized argument value,Memory leak;Dereference of undefined pointer value,Fail
CWE457_Use_of_Uninitialized_Variable__struct_array_malloc_no_init_16.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__char_pointer_43.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_array_malloc_partial_init_13.c,Uninitialized argument value,Memory leak,Fail
CWE457_Use_of_Uninitialized_Variable__double_array_declare_no_init_14.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_07.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__struct_pointer_16.c,Uninitialized argument value,Memory leak;Dereference of undefined pointer value,Fail
CWE457_Use_of_Uninitialized_Variable__double_array_declare_partial_init_05.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_17.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_alloca_no_init_03.c,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__twointsclass_05.cpp,Uninitialized argument value,Uninitialized argument value,OK
CWE457_Use_of_Uninitialized_Variable__int_array_malloc_partial_init_07.c,Uninitialized argument value,Uninitialized argument value;Memory leak,OK
CWE457_Use_of_Uninitialized_Variable__double_array_malloc_partial_init_05.c,Uninitialized argument value,Uninitialized argument value;Memory leak,OK
CWE457_Use_of_Uninitialized_Variable__struct_pointer_11.c,Uninitialized argument value,Memory leak;Dereference of undefined pointer value,Fail
